wavelength (nm),n_o,k_o,n_e,k_e
463.7619192,3.143145,0.118368,2.812411,0.082427
465.3596841,3.138658,0.117629,2.808653,0.082259
466.9572405,3.134266,0.116909,2.805002,0.082104
468.5548245,3.129966,0.116206,2.801456,0.081958
470.1523237,3.125756,0.115517,2.798012,0.081818
471.7498038,3.121633,0.114842,2.794666,0.08168
473.3471528,3.117594,0.11418,2.791416,0.081541
474.9446213,3.113638,0.113528,2.78826,0.081398
476.5421019,3.109762,0.112887,2.785192,0.081249
478.1394857,3.105963,0.112254,2.782211,0.08109
479.7366622,3.10224,0.111628,2.779313,0.080918
481.3338934,3.09859,0.111009,2.776493,0.080731
482.9312616,3.09501,0.110395,2.773749,0.080527
484.5284738,3.091499,0.109786,2.771076,0.080304
486.125612,3.088054,0.10918,2.76847,0.080058
487.7227619,3.084672,0.108576,2.765927,0.079787
489.3198195,3.08135,0.107973,2.763439,0.079491
490.916874,3.078086,0.107372,2.761002,0.079169
492.5138225,3.074877,0.106772,2.758609,0.078824
494.1107579,3.071721,0.106174,2.756257,0.078456
495.7075784,3.068616,0.105578,2.753943,0.078068
497.3045801,3.065561,0.104985,2.751664,0.077661
498.9012649,3.062552,0.104394,2.749417,0.077237
500.4981334,3.05959,0.103807,2.747201,0.076798
502.094887,3.056673,0.103222,2.745012,0.076344
503.6916299,3.053799,0.10264,2.74285,0.075878
505.2882646,3.050967,0.102062,2.740712,0.0754
506.8848992,3.048176,0.101488,2.738598,0.074912
508.4814374,3.045425,0.100917,2.736506,0.074415
510.0779918,3.042712,0.100351,2.734433,0.073911
511.6744675,3.040037,0.099789,2.732381,0.0734
513.2709812,3.037399,0.099231,2.730346,0.072884
514.8672258,3.034796,0.098677,2.72833,0.072364
516.4635334,3.032228,0.098128,2.72633,0.071841
518.0598126,3.029695,0.097584,2.724346,0.071315
519.6561885,3.027194,0.097045,2.722377,0.070789
521.2523523,3.024726,0.09651,2.720423,0.070263
522.8484297,3.02229,0.095981,2.718483,0.069737
524.4445505,3.019884,0.095457,2.716556,0.069213
526.0406257,3.017509,0.094938,2.714643,0.068692
527.6367898,3.015164,0.094425,2.712743,0.068174
529.2327299,3.012848,0.093917,2.710856,0.06766
530.8285809,3.01056,0.093415,2.708981,0.067152
532.4244823,3.0083,0.092919,2.707118,0.066649
534.0203479,3.006068,0.092428,2.705268,0.066152
535.6160906,3.003863,0.091943,2.703429,0.065663
537.2116221,3.001683,0.091465,2.701602,0.065181
538.8073214,2.99953,0.090992,2.699787,0.064708
540.4031067,2.997403,0.090525,2.697985,0.064244
541.9986579,2.9953,0.090064,2.696194,0.06379
543.5941255,2.993222,0.08961,2.694415,0.063346
545.189664,2.991169,0.089161,2.692649,0.062913
546.7849507,2.98914,0.088719,2.690896,0.062491
548.3803839,2.987134,0.088284,2.689155,0.062081
549.9756401,2.985151,0.087854,2.687428,0.061683
551.5708801,2.983192,0.087431,2.685714,0.061298
553.1660227,2.981255,0.087015,2.684015,0.060926
554.7612339,2.979341,0.086605,2.68233,0.060568
556.3561851,2.97745,0.086201,2.680662,0.060224
557.9512945,2.975581,0.085803,2.679012,0.059892
559.5462332,2.973734,0.085412,2.677378,0.059573
561.1411735,2.971909,0.085026,2.675763,0.059266
562.7360373,2.970105,0.084646,2.674165,0.058971
564.3307454,2.968323,0.084272,2.672586,0.058686
565.9254764,2.966562,0.083903,2.671026,0.058413
567.5201537,2.964822,0.083539,2.669484,0.058149
569.1149612,2.963102,0.083181,2.66796,0.057895
570.7095625,2.961403,0.082827,2.666456,0.05765
572.3038785,2.959723,0.082478,2.664969,0.057414
573.8983608,2.958063,0.082134,2.663502,0.057187
575.4926701,2.956423,0.081795,2.662053,0.056968
577.0869981,2.954802,0.081459,2.660622,0.056756
578.6812712,2.9532,0.081129,2.65921,0.056552
580.2756867,2.951616,0.080802,2.657816,0.056354
581.8696277,2.950051,0.08048,2.65644,0.056163
583.4638376,2.948503,0.080161,2.655082,0.055979
585.0579725,2.946974,0.079846,2.653742,0.0558
586.6519594,2.945462,0.079535,2.652419,0.055627
588.2457245,2.943968,0.079228,2.651114,0.055459
589.8394738,2.94249,0.078924,2.649827,0.055296
591.4334185,2.94103,0.078624,2.648557,0.055138
593.0272081,2.939585,0.078326,2.647304,0.054984
594.6207702,2.938158,0.078032,2.646067,0.054835
596.2143183,2.936746,0.077742,2.644847,0.054689
597.8077832,2.93535,0.077454,2.643644,0.054546
